"Name","Sex","Employee ID","Position","Employment Status","Email","Contact","Degree","Major","Minor","Ancillary Assignments","Unavailable Periods","Subject Expertise","Grade Level Assignments"
"Juan Miguel Dela Cruz","Male","300627-1001","Teacher I","Regular","juan.dela1@deped-template.edu.ph","09605460783","BSEd","English","None","","","English; Science; TLE","Grade 7; Grade 8"
"Maria Luisa Reyes","Female","300627-1002","Teacher II","Regular","maria.reyes2@deped-template.edu.ph","09727873537","BSEd","Mathematics","English","","","Mathematics; Araling Panlipunan; ESP","Grade 8; Grade 9"
"Jose Antonio Santos","Male","300627-1003","Teacher III","Regular","jose.santos3@deped-template.edu.ph","09176147264","BSEd","Filipino","Mathematics","","","Filipino; MAPEH; Special Program in the Arts","Grade 9; Grade 10"
"Ana Beatriz Bautista","Female","300627-1004","Master Teacher I","Probationary","ana.bautista4@deped-template.edu.ph","09955421205","BSEd","Science","Science","","","Science; TLE; Special Program in the Journalism","Grade 10; Grade 7"
"Carlo Andres Garcia","Male","300627-1005","Teacher I","Part-Time","carlo.garcia5@deped-template.edu.ph","09379779252","BSEd","Araling Panlipunan","MAPEH","","","Araling Panlipunan; ESP; English","Grade 7; Grade 8"
"Lea Christine Mendoza","Female","300627-1006","Teacher II","Regular","lea.mendoza6@deped-template.edu.ph","09146010748","BSEd","MAPEH","Values Education","","","MAPEH; Special Program in the Arts; Mathematics","Grade 8; Grade 9"
"Mark Anthony Torres","Male","300627-1007","Teacher III","Regular","mark.torres7@deped-template.edu.ph","09114835684","BSEd","TLE","None","","","TLE; Special Program in the Journalism; Filipino","Grade 9; Grade 10"
"Angela Marie Flores","Female","300627-1008","Master Teacher I","Regular","angela.flores8@deped-template.edu.ph","09714262850","BSEd","Values Education","English","","","ESP; English; Science","Grade 10; Grade 7"
"Paolo Vincent Ramos","Male","300627-1009","Teacher I","Probationary","paolo.ramos9@deped-template.edu.ph","09737596717","BSEd","ICT","Mathematics","","","Special Program in the Arts; Mathematics; Araling Panlipunan","Grade 7; Grade 8"
"Rica Mae Aquino","Female","300627-1010","Teacher II","Part-Time","rica.aquino10@deped-template.edu.ph","09806525565","BSEd","General Education","Science","","","Special Program in the Journalism; Filipino; MAPEH","Grade 8; Grade 9"
"Luis Gabriel Castillo","Male","300627-1011","Teacher III","Regular","luis.castillo11@deped-template.edu.ph","09035415872","BSEd","English","MAPEH","","","English; Science; TLE","Grade 9; Grade 10"
"Patricia Anne Navarro","Female","300627-1012","Master Teacher I","Regular","patricia.navarro12@deped-template.edu.ph","09796153912","BSEd","Mathematics","Values Education","","","Mathematics; Araling Panlipunan; ESP","Grade 10; Grade 7"
"John Carlo Villar","Male","300627-1013","Teacher I","Regular","john.villar13@deped-template.edu.ph","09773030223","BSEd","Filipino","None","","","Filipino; MAPEH; Special Program in the Arts","Grade 7; Grade 8"
"Katrina Mae Domingo","Female","300627-1014","Teacher II","Probationary","katrina.domingo14@deped-template.edu.ph","09362374756","BSEd","Science","English","","","Science; TLE; Special Program in the Journalism","Grade 8; Grade 9"
"Francis Paolo Villanueva","Male","300627-1015","Teacher III","Part-Time","francis.villanueva15@deped-template.edu.ph","09129440195","BSEd","Araling Panlipunan","Mathematics","","","Araling Panlipunan; ESP; English","Grade 9; Grade 10"
"Kimberly Joy Fernandez","Female","300627-1016","Master Teacher I","Regular","kimberly.fernandez16@deped-template.edu.ph","09070831733","BSEd","MAPEH","Science","","","MAPEH; Special Program in the Arts; Mathematics","Grade 10; Grade 7"
"Nathaniel Lazaro","Male","300627-1017","Teacher I","Regular","nathaniel.lazaro17@deped-template.edu.ph","09832837482","BSEd","TLE","MAPEH","","","TLE; Special Program in the Journalism; Filipino","Grade 7; Grade 8"
"Sheena Mae Tolentino","Female","300627-1018","Teacher II","Regular","sheena.tolentino18@deped-template.edu.ph","09806704584","BSEd","Values Education","Values Education","","","ESP; English; Science","Grade 8; Grade 9"
"Raymart Marquez","Male","300627-1019","Teacher III","Probationary","raymart.marquez19@deped-template.edu.ph","09444620832","BSEd","ICT","None","","","Special Program in the Arts; Mathematics; Araling Panlipunan","Grade 9; Grade 10"
"Alyssa Jane Pascual","Female","300627-1020","Master Teacher I","Part-Time","alyssa.pascual20@deped-template.edu.ph","09772476173","BSEd","General Education","English","","","Special Program in the Journalism; Filipino; MAPEH","Grade 10; Grade 7"
"Jerome De Guzman","Male","300627-1021","Teacher I","Regular","jerome.de21@deped-template.edu.ph","09950783513","BSEd","English","Mathematics","","","English; Science; TLE","Grade 7; Grade 8"
"Camille Rose Salazar","Female","300627-1022","Teacher II","Regular","camille.salazar22@deped-template.edu.ph","09389398101","BSEd","Mathematics","Science","","","Mathematics; Araling Panlipunan; ESP","Grade 8; Grade 9"
"Bryan Carl Mercado","Male","300627-1023","Teacher III","Regular","bryan.mercado23@deped-template.edu.ph","09691235249","BSEd","Filipino","MAPEH","","","Filipino; MAPEH; Special Program in the Arts","Grade 9; Grade 10"
"Jasmine Nicole Estrella","Female","300627-1024","Master Teacher I","Probationary","jasmine.estrella24@deped-template.edu.ph","09806406823","BSEd","Science","Values Education","","","Science; TLE; Special Program in the Journalism","Grade 10; Grade 7"
"Ralph Emmanuel Natividad","Male","300627-1025","Teacher I","Part-Time","ralph.natividad25@deped-template.edu.ph","09843145347","BSEd","Araling Panlipunan","None","","","Araling Panlipunan; ESP; English","Grade 7; Grade 8"
"Monica Faith Samonte","Female","300627-1026","Teacher II","Regular","monica.samonte26@deped-template.edu.ph","09923319753","BSEd","MAPEH","English","","","MAPEH; Special Program in the Arts; Mathematics","Grade 8; Grade 9"
"Kevin Lloyd Quinto","Male","300627-1027","Teacher III","Regular","kevin.quinto27@deped-template.edu.ph","09966304191","BSEd","TLE","Mathematics","","","TLE; Special Program in the Journalism; Filipino","Grade 9; Grade 10"
"Dianne Grace Calderon","Female","300627-1028","Master Teacher I","Regular","dianne.calderon28@deped-template.edu.ph","09984827435","BSEd","Values Education","Science","","","ESP; English; Science","Grade 10; Grade 7"
"Edrian Soriano","Male","300627-1029","Teacher I","Probationary","edrian.soriano29@deped-template.edu.ph","09329134824","BSEd","ICT","MAPEH","","","Special Program in the Arts; Mathematics; Araling Panlipunan","Grade 7; Grade 8"
"Clarisse Mae Mallari","Female","300627-1030","Teacher II","Part-Time","clarisse.mallari30@deped-template.edu.ph","09016980765","BSEd","General Education","Values Education","","","Special Program in the Journalism; Filipino; MAPEH","Grade 8; Grade 9"
"Noel Patrick Alcantara","Male","300627-1031","Teacher III","Regular","noel.alcantara31@deped-template.edu.ph","09546873456","BSEd","English","None","","","English; Science; TLE","Grade 9; Grade 10"
"Shaira Mae Macapagal","Female","300627-1032","Master Teacher I","Regular","shaira.macapagal32@deped-template.edu.ph","09844783239","BSEd","Mathematics","English","","","Mathematics; Araling Panlipunan; ESP","Grade 10; Grade 7"
"Renz Carlo Ocampo","Male","300627-1033","Teacher I","Regular","renz.ocampo33@deped-template.edu.ph","09040108977","BSEd","Filipino","Mathematics","","","Filipino; MAPEH; Special Program in the Arts","Grade 7; Grade 8"
